question_no,type,category,tags,stem,preamble,statement_a,statement_b,statement_c,statement_d,choice_1,choice_2,choice_3,choice_4,choice_5,correct,explanation
74,single,関係法令,作業主任者・取扱資格,二級ボイラー技士を作業主任者に選任できる範囲に関する記述として、適切なものは次のうちどれか。,,,,,,ボイラーの種類や伝熱面積により制限を受ける。,すべてのボイラーで無制限に選任できる。,法令上、二級ボイラー技士は作業主任者になれない。,燃料が重油なら必ず選任不要である。,水管ボイラーでは伝熱面積に関係しない。,1,作業主任者に選任できる資格範囲は、ボイラーの種類や規模により異なる。
75,single,関係法令,作業主任者・取扱資格,ボイラー取扱作業主任者の職務として、適切でないものは次のうちどれか。,,,,,,急激な負荷変動を避けるよう努める。,安全弁の機能保持に注意する。,燃焼状態を監視する。,ボイラー排水や水質管理に注意する。,安全装置を取り外して運転するよう指示する。,5,安全装置を取り外して運転することは不適切である。
76,single,関係法令,附属品・安全弁・圧力計,鋼製蒸気ボイラーの圧力計に関する記述として、適切でないものは次のうちどれか。,,,,,,圧力を確認しやすいように取り付ける。,コック又は弁の開閉状態が分かるようにする。,著しい振動を避ける。,内部が凍結しないようにする。,目盛りを隠し、圧力を読めないようにする。,5,圧力計は見やすく、圧力を確実に確認できるようにする。
77,single,関係法令,附属品・安全弁・圧力計,安全弁に関する法令上の記述として、適切なものは次のうちどれか。,,,,,,ボイラーの過圧を防ぐ重要な附属品である。,燃焼用空気量を増やすファンである。,給水中の硬度を除去する装置である。,水位を表示するガラス管である。,燃料の引火点を測定する器具である。,1,安全弁は過圧防止のための重要な附属品である。
78,single,関係法令,附属品・安全弁・圧力計,温水ボイラーの返り管に関する記述として、適切なものは次のうちどれか。,,,,,,水道など圧力を有する水源との接続が法令問題で問われることがある。,必ず蒸気を過熱するためだけに用いる。,燃料油を霧化するノズルである。,煙突の通風力を測定する計器である。,ボイラー水とは無関係の部品である。,1,温水ボイラーや鋳鉄製ボイラーでは、返り管や給水源との関係が問われる。
79,single,関係法令,附属品・安全弁・圧力計,鋳鉄製温水ボイラーに取り付ける附属品として、法令問題で問われやすいものは次のうちどれか。,,,,,,温度計又は水高計などの計器類,燃料の総発熱量表だけ,通勤経路図,作業者の身長計,燃料販売契約書,1,鋳鉄製温水ボイラーでは、温度計、水高計、逃がし管などの附属品が問われやすい。
80,single,関係法令,附属品・安全弁・圧力計,貫流ボイラーの附属品に関する記述として、適切でないものは次のうちどれか。,,,,,,安全弁などの安全装置が問われる。,給水装置に関する規定が問われることがある。,過熱器がある場合、ドレン抜きが問題となることがある。,燃焼安全装置が問題となることがある。,法令上、附属品に関する規定は一切存在しない。,5,貫流ボイラーにも附属品や安全装置に関する規定がある。
81,single,ボイラーの構造に関する知識,熱・蒸気・圧力,飽和蒸気に関する記述として、適切なものは次のうちどれか。,,,,,,同じ圧力で水と蒸気が平衡している状態の蒸気である。,必ず飽和温度より低い温度で存在する。,圧力が変わっても飽和温度は全く変わらない。,水分を含む蒸気はすべて過熱蒸気である。,蒸気表では扱われない。,1,飽和蒸気は、同じ圧力で水と蒸気が平衡している状態の蒸気である。
82,single,ボイラーの構造に関する知識,熱・蒸気・圧力,過熱蒸気に関する記述として、適切でないものは次のうちどれか。,,,,,,飽和温度を超えて加熱された蒸気である。,蒸気タービンなどで利用されることがある。,乾き飽和蒸気をさらに加熱して得られる。,同じ圧力の飽和蒸気より温度が低い。,過熱器でつくられることがある。,4,過熱蒸気は同じ圧力の飽和温度より高温の蒸気である。
83,single,ボイラーの構造に関する知識,熱・蒸気・圧力,仕事率及び熱量に関する記述として、適切なものは次のうちどれか。,,,,,,1Wは1J/sである。,1kWhは1Jより小さい。,仕事率は温度の単位である。,熱量は圧力計だけで直接読む。,kJは長さの単位である。,1,Wは仕事率の単位で、1W=1J/sである。
84,single,ボイラーの構造に関する知識,燃焼室・伝熱面,放射伝熱面に関する記述として、適切なものは次のうちどれか。,,,,,,火炎や高温ガスからの放射熱を受ける伝熱面である。,給水ポンプの羽根車をいう。,燃料タンクの底板だけをいう。,水面計のガラス管をいう。,安全弁のばねをいう。,1,燃焼室に面する水冷壁などは放射熱を多く受ける。
85,single,ボイラーの構造に関する知識,燃焼室・伝熱面,接触伝熱面に関する記述として、適切なものは次のうちどれか。,,,,,,燃焼ガスとの接触により熱を受ける伝熱面である。,燃料を貯蔵する面だけをいう。,空気予熱器の送風機だけをいう。,安全弁の吹出し管だけをいう。,圧力計の目盛盤だけをいう。,1,煙管など、ガスとの接触で熱を受ける面は接触伝熱面として扱われる。
86,single,ボイラーの構造に関する知識,水循環・水管ボイラー,自然循環式ボイラーの循環力に関する記述として、適切なものは次のうちどれか。,,,,,,水と蒸気を含む水との密度差が循環力に関係する。,循環力は燃料タンクの色だけで決まる。,密度差は循環に関係しない。,常に給水ポンプを使わなければ循環しない。,水位がなくても循環は安全に維持される。,1,自然循環は水と気泡を含む水との密度差を利用する。
